Model,File Name,n,reference,Units,type,quality.rating,set,select,bgcpaper,tmp,enaR,in.Ulanowicz,in.50set
''Sylt-R{\o}m{\o} Bight'',''Sylt_Romo_Bight_C.dat'',59,'' \citet{baird04_sylt}'',''mg C m$^{-2}$ d$^{-1}$ '',TRO,,1,1,1,1,1,0,1
''Sylt-R{\o}m{\o} Bight (N)'',''Sylt_Romo_Bight_N.dat'',59,''\citet{baird08_sylt}'',''mg N m$^{-2}$ yr$^{-1}$ '',BGC,,,1,1,1,1,0,
''Sylt-R{\o}m{\o} Bight (P)'',''Sylt_Romo_Bight_P.dat'',59,''\citet{baird08_sylt}'',''mg P m$^{-2}$ yr$^{-1}$ '',BGC,,,1,1,1,1,0,
''Tropical Rain Forest (N)'',''Tropical_rain_forest_N.dat'',5,''\citet{edmisten70}'',''g N m$^{-2}$ d$^{-1}$ '',BGC,,,1,1,1,1,1,
''Upper Chesapeake Bay'',''upper_chesapeake_bay_34.dat'',34,''\citet{hagy02}'',''mg C m$^{-2}$ yr$^{-1}$ '',TRO,,,,0,1,0,0,0
''Yellow River (HB 1998)'',''yellow_river_H-B_98'',13,,,URB,,,,,,,28,
''Yellow River (HB 1999)'',''yellow_river_H-B_99'',13,,,URB,,,,,,,,
''Yellow River (HB 2000)'',''yellow_river_H-B_00'',13,,,URB,,,,,,,,
''Yellow River (HB 2001)'',''yellow_river_H-B_01'',13,,,URB,,,,,,,,
''Yellow River (HB 2002)'',''yellow_river_H-B_02'',13,,,URB,,,,,,,,
''Yellow River (HB 2003)'',''yellow_river_H-B_03'',13,,,URB,,,,,,,,
''Yellow River (HB 2004)'',''yellow_river_H-B_04'',13,,,URB,,,,,,,,
''Yellow River (HB 2005)'',''yellow_river_H-B_05'',13,,,URB,,,,,,,,
''Yellow River (HB 2006)'',''yellow_river_H-B_06'',13,,,URB,,,,,,,,
''Yellow River (L1-T 1998)'',''yellow_river_L1-T_98'',13,,,URB,,,,,,,,
''Yellow River (L1-T 1999)'',''yellow_river_L1-T_99'',13,,,URB,,,,,,,,
''Yellow River (L1-T 2000)'',''yellow_river_L1-T_00'',13,,,URB,,,,,,,,
''Yellow River (L1-T 2001)'',''yellow_river_L1-T_01'',13,,,URB,,,,,,,,
''Yellow River (L1-T 2002)'',''yellow_river_L1-T_02'',13,,,URB,,,,,,,,
''Yellow River (L1-T 2003)'',''yellow_river_L1-T_03'',13,,,URB,,,,,,,,
''Yellow River (L1-T 2004)'',''yellow_river_L1-T_04'',13,,,URB,,,,,,,,
''Yellow River (L1-T 2005)'',''yellow_river_L1-T_05'',13,,,URB,,,,,,,,
''Yellow River (L1-T 2006)'',''yellow_river_L1-T_06'',13,,,URB,,,,,,,,
''Yellow River (L2-S2 1998)'',''yellow_river_L2-S2_98'',13,,,URB,,,,,,,,
''Yellow River (L2-S2 1999)'',''yellow_river_L2-S2_99'',13,,,URB,,,,,,,,
''Yellow River (L2-S2 2000)'',''yellow_river_L2-S2_00'',13,,,URB,,,,,,,,
''Yellow River (L2-S2 2001)'',''yellow_river_L2-S2_01'',13,,,URB,,,,,,,,
''Yellow River (L2-S2 2002)'',''yellow_river_L2-S2_02'',13,,,URB,,,,,,,,
''Yellow River (L2-S2 2003)'',''yellow_river_L2-S2_03'',13,,,URB,,,,,,,,
''Yellow River (L2-S2 2004)'',''yellow_river_L2-S2_04'',13,,,URB,,,,,,,,
''Yellow River (L2-S2 2005)'',''yellow_river_L2-S2_05'',13,,,URB,,,,,,,,
''Yellow River (L2-S2 2006)'',''yellow_river_L2-S2_06'',13,,,URB,,,,,,,,
''Yellow River (S2-H 1998)'',''yellow_river_S2-H_98'',13,,,URB,,,,,,,,
''Yellow River (S2-H 1999)'',''yellow_river_S2-H_99'',13,,,URB,,,,,,,,
''Yellow River (S2-H 2000)'',''yellow_river_S2-H_00'',13,,,URB,,,,,,,,
''Yellow River (S2-H 2001)'',''yellow_river_S2-H_01'',13,,,URB,,,,,,,,
''Yellow River (S2-H 2002)'',''yellow_river_S2-H_02'',13,,,URB,,,,,,,,
''Yellow River (S2-H 2003)'',''yellow_river_S2-H_03'',13,,,URB,,,,,,,,
''Yellow River (S2-H 2004)'',''yellow_river_S2-H_04'',13,,,URB,,,,,,,,
''Yellow River (S2-H 2005)'',''yellow_river_S2-H_05'',13,,,URB,,,,,,,,
''Yellow River (S2-H 2006)'',''yellow_river_S2-H_06'',13,,,URB,,,,,,,,
''Yellow River (S2L1 1998)'',''yellow_river_S1-L1_98'',13,,,URB,,,,,,,,
''Yellow River (S2L1 1999)'',''yellow_river_S1-L1_99'',13,,,URB,,,,,,,,
''Yellow River (S2L1 2000)'',''yellow_river_S1-L1_00'',13,,,URB,,,,,,,,
''Yellow River (S2L1 2001)'',''yellow_river_S1-L1_01'',13,,,URB,,,,,,,,
''Yellow River (S2L1 2002)'',''yellow_river_S1-L1_02'',13,,,URB,,,,,,,,
''Yellow River (S2L1 2003)'',''yellow_river_S1-L1_03'',13,,,URB,,,,,,,,
''Yellow River (S2L1 2004)'',''yellow_river_S1-L1_04'',13,,,URB,,,,,,,,
''Yellow River (S2L1 2005)'',''yellow_river_S1-L1_05'',13,,,URB,,,,,,,,
''Yellow River (S2L1 2006)'',''yellow_river_S1-L1_06'',13,,,URB,,,,,,,,
''Yellow River (T-L2 1998)'',''yellow_river_T-L2_98'',13,,,URB,,,,,,,,
''Yellow River (T-L2 1999)'',''yellow_river_T-L2_99'',13,,,URB,,,,,,,,
''Yellow River (T-L2 2000)'',''yellow_river_T-L2_00'',13,,,URB,,,,,,,,
''Yellow River (T-L2 2001)'',''yellow_river_T-L2_01'',13,,,URB,,,,,,,,
''Yellow River (T-L2 2002)'',''yellow_river_T-L2_02'',13,,,URB,,,,,,,,
''Yellow River (T-L2 2003)'',''yellow_river_T-L2_03'',13,,,URB,,,,,,,,
''Yellow River (T-L2 2004)'',''yellow_river_T-L2_04'',13,,,URB,,,,,,,,
''Yellow River (T-L2 2005)'',''yellow_river_T-L2_05'',13,,,URB,,,,,,,,
''Yellow River (T-L2 2006)'',''yellow_river_T-L2_06'',13,,,URB,,,,,,,,
''Ythan Estuary'',''ythan_estuary.dat'',13,'' \citet{baird81}'',''gC m$^{-2}$ yr$^{-1}$ '',TRO,,1,1,1,1,1,1,1
